series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5,-0.0272530863684446,0.09326989297112055,18.378010574678935,56.34729466190538,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5042016806722689,-0.02701752677238303,0.09311665574776315,18.326703893172695,56.03678638070028,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5084033613445378,-0.026782320785312574,0.09295885587437427,18.274040908826027,55.72181350320881,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5126050420168067,-0.026547466943593095,0.09279640998925198,18.22000856520891,55.40236542937939,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5168067226890757,-0.026312963882506993,0.09262925775506599,18.164593872558427,55.07840202108287,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5210084033613446,-0.0260788100222681,0.09245727084824484,18.107783963982843,54.74996916346217,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5252100840336135,-0.025845003741406972,0.09228030343373467,18.049566094489002,54.41713443799294,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5294117647058824,-0.025611543632358298,0.0920982666764535,17.989927557778852,54.07989255179473,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5336134453781513,-0.02537842828876022,0.0919110671365214,17.928855719938067,53.73824356027119,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5378151260504201,-0.025145656305469215,0.09171860693477576,17.86633801860504,53.39219259631393,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.542016806722689,-0.02491322627268028,0.09152078375666792,17.802361715953232,53.041748384295005,0.04599785804748535,252.76382124559132,500.0,True,0.495
AOM_LS,central,0,0.9,0.96,0.96,0.979,0.92,0.5462184873949579,-0.024681136728802226,0.0913174897765027,17.7369119314936,52.68691318939771,0.04599785804748535,252.76382124559132,500.0,True,0.495
